SIMtype,Text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Ok lar... Joking wif you oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,you dun say so early hor... you c already then say...
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun yoyou up foareit still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,Even my brotheareis not like to speak with me. They treat me like aids patent.
ham,As peareyouarerequest 'Melle Melle (Oryou Minnaminunginte Nurungyou Vettam)' has been set as youarecallertune foareall Callers. Press *9 to copy youarefriends Callertune
spam,WINNER!! As a valued network customeareyoyou have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Had youaremobile 11 months oaremore? you areentitled to Update to the latest colouaremobiles with camera foareFree! Call The Mobile Update Co FREE on 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! Yoyou have won a 1 week FREE membership in ouare£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,I've been searching foarethe right words to thank yoyou foarethis breather. I promise i wont take youarehelp foaregranted and will fulfil my promise. Yoyou have been wonderful and a blessing at all times.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,"XXXMobileMovieClub: To use youarecredit, click the WAP link in the next txt message oareclick here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:)
ham,Eh you remembearehow 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,Fine if thats the way you feel. Thats the way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt uarenational team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Is that seriously how yoyou spell his name?
ham,I‘m going to try foare2 months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...
ham,Aft i finish my lunch then i go staredown lor. Ard 3 smth lor. you finish uarelunch already?
ham,Ffffffffff. Alright no way I can meet up with yoyou sooner?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,Lol youarealways so convincing.
ham,Did yoyou catch the bus ? Are yoyou frying an egg ? Did yoyou make a tea? Are yoyou eating youaremom's left ovearedinneare? Do yoyou feel my Love ?
ham,"I'm back &amp; we're packing the caarenow, I'll let yoyou know if there's room"
ham,Ahhh. Work. I vaguely remembearethat! What does it feel like? Lol
ham,"Wait that's still not all that clear, were yoyou not sure about me being sarcastic oarethat that's why x doesn't want to live with us"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
ham,K tell me anything about you.
ham,Foarefeaareof fainting with the of all that housework yoyou just did? Quick have a cuppa
spam,Thanks foareyouaresubscription to Ringtone UK youaremobile will be charged £5/month Please confirm by replying YES oareNO. If yoyou reply NO yoyou will not be charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but hearelesson is at 8am
ham,"Oops, I'll let yoyou know when my roommate's done"
ham,I see the letteareB on my car
ham,Anything lor... you decide...
ham,Hello! How's yoyou and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself oareanything!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,"Did I forget to tell yoyou ? I want yoyou , I need you, I crave yoyou ... But most of all ... I love yoyou my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,07732584351 - RodgeareBurns - MSG = We tried to call yoyou re youarereply to ouaresms foarea free nokia mobile + free camcorder. Please call now 08000930705 foaredelivery tomorrow
ham,WHO ARE YOyou SEEING?
ham,Great! I hope yoyou like youareman well endowed. I am  &lt;#&gt;  inches...
ham,No calls..messages..missed calls
ham,Didn't yoyou get hep b immunisation in nigeria.
ham,"Faiareenough, anything going on?"
ham,"Yeah hopefully, if tylearecan't do it I could maybe ask around a bit"
ham,you don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are foareweak suckers.
ham,What yoyou thinked about me. First time yoyou saw me in class.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smartearethough and gets yoyou almost a whole second gram foare &lt;#&gt;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at ouareplace tonight
ham,"Wow. I nevearerealized that yoyou were so embarassed by youareaccomodations. I thought yoyou liked it, since i was doing the best i could and yoyou always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry youareroom was so embarassing."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct oareIncorrect? End? Reply END SPTV
ham,Do yoyou know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
spam,"Congrats! 1 yeaarespecial cinema pass foare2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
ham,"Sorry, I'll call latearein meeting."
ham,Tell where yoyou reached
ham,Yes..gauti and sehwag out of odi series.
ham,Youaregonna have to pick up a $1 burgearefoareyourself on youareway home. I can't even move. Pain is killing me.
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Its a part of checking IQ
ham,"Sorry my roommates took forever, it ok if I come by now?"
ham,Ok laarei double check wif da haiaredressearealready he said wun cut v short. He said will cut until i look nice.
